epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9151,1.80231,3.15221,1.64277,0.78606,0.62825,0.72392,0.34747,1.46517,1.32338,1.3372,0.000661247,0.000661247,0.000661247
2,54.0921,1.79089,1.49631,1.62401,0.45396,0.6203,0.50986,0.25144,1.39196,2.59396,1.37007,0.00131477,0.00131477,0.00131477
3,79.9223,1.77423,1.42994,1.60726,0.76586,0.63731,0.73997,0.35641,1.41923,1.68001,1.3763,0.00195509,0.00195509,0.00195509
4,105.496,1.71919,1.3463,1.58627,0.80395,0.7513,0.79381,0.39307,1.38709,1.29044,1.39754,0.0019406,0.0019406,0.0019406
5,130.97,1.70792,1.29567,1.60951,0.83133,0.74057,0.83955,0.42226,1.40863,1.45495,1.35875,0.0019208,0.0019208,0.0019208
6,156.367,1.7012,1.26135,1.58216,0.83937,0.75813,0.84548,0.40833,1.40674,1.00313,1.36442,0.001901,0.001901,0.001901
7,181.669,1.62696,1.15557,1.53824,0.83511,0.83974,0.89276,0.4737,1.356,0.92287,1.31346,0.0018812,0.0018812,0.0018812
8,206.845,1.63477,1.11024,1.51853,0.90602,0.76684,0.89561,0.48654,1.31133,0.79501,1.31059,0.0018614,0.0018614,0.0018614
9,232.392,1.58694,1.08957,1.51039,0.83104,0.81553,0.88503,0.48395,1.29214,0.88057,1.25278,0.0018416,0.0018416,0.0018416
10,257.862,1.60842,1.09059,1.5254,0.80365,0.84828,0.88738,0.43884,1.48543,0.78639,1.38516,0.0018218,0.0018218,0.0018218
11,283.379,1.55786,1.0347,1.4949,0.88226,0.81532,0.88251,0.46127,1.3348,1.2285,1.30745,0.001802,0.001802,0.001802
12,309.139,1.55972,1.00456,1.49928,0.89684,0.87565,0.93305,0.49447,1.31016,0.83057,1.29078,0.0017822,0.0017822,0.0017822
13,1504.95,1.54018,1.01691,1.45834,0.86858,0.86528,0.91288,0.45131,1.39977,0.78688,1.33016,0.0017624,0.0017624,0.0017624
14,1531.05,1.53925,0.95065,1.4658,0.90138,0.77202,0.90213,0.4952,1.28794,0.78341,1.26793,0.0017426,0.0017426,0.0017426
15,1556.71,1.49061,0.95624,1.44482,0.89134,0.82902,0.89153,0.49644,1.31059,0.74345,1.29324,0.0017228,0.0017228,0.0017228
16,1582.1,1.4824,0.95326,1.43514,0.89482,0.88159,0.94678,0.50003,1.29191,0.7047,1.25468,0.001703,0.001703,0.001703
17,1607.74,1.48696,0.90089,1.43482,0.90177,0.85619,0.92552,0.5132,1.26827,0.76814,1.2581,0.0016832,0.0016832,0.0016832
18,1633.13,1.49065,0.882,1.4524,0.90537,0.86528,0.93217,0.53057,1.24549,0.64519,1.24941,0.0016634,0.0016634,0.0016634
19,1658.4,1.43571,0.85375,1.39059,0.94051,0.80311,0.91975,0.45845,1.49742,0.7417,1.41914,0.0016436,0.0016436,0.0016436
20,1683.9,1.48169,0.86253,1.42696,0.89554,0.84974,0.92322,0.51396,1.28283,0.71663,1.23764,0.0016238,0.0016238,0.0016238
21,1709.1,1.46388,0.86051,1.4013,0.89777,0.91002,0.94541,0.506,1.29236,0.67028,1.25899,0.001604,0.001604,0.001604
22,1734.21,1.419,0.8184,1.38684,0.91301,0.89119,0.93328,0.49884,1.31816,0.66869,1.30608,0.0015842,0.0015842,0.0015842
23,1759.59,1.41394,0.81947,1.37292,0.92793,0.84974,0.93709,0.53121,1.26343,0.62773,1.25433,0.0015644,0.0015644,0.0015644
24,1785.2,1.41034,0.81763,1.39464,0.91592,0.89119,0.94111,0.51135,1.31157,0.66347,1.27127,0.0015446,0.0015446,0.0015446
25,1811.13,1.41837,0.78976,1.38307,0.89275,0.90573,0.94736,0.52143,1.27376,0.73007,1.24759,0.0015248,0.0015248,0.0015248
26,1836.36,1.37221,0.79531,1.34069,0.93091,0.91192,0.94818,0.50154,1.2956,0.64465,1.25713,0.001505,0.001505,0.001505
27,1861.75,1.42552,0.82103,1.38361,0.93951,0.88522,0.95312,0.5213,1.30897,0.63551,1.25645,0.0014852,0.0014852,0.0014852
28,1887.27,1.39293,0.78049,1.36606,0.89326,0.91055,0.9369,0.51255,1.27258,0.63533,1.22365,0.0014654,0.0014654,0.0014654
29,1912.62,1.35454,0.76385,1.32191,0.93327,0.8696,0.93034,0.51187,1.27299,0.65392,1.25647,0.0014456,0.0014456,0.0014456
30,1937.83,1.37818,0.76009,1.3472,0.95513,0.90674,0.95675,0.52278,1.30421,0.60744,1.25919,0.0014258,0.0014258,0.0014258
31,1963.13,1.33921,0.75793,1.32838,0.92453,0.93264,0.95574,0.50482,1.3045,0.64515,1.2978,0.001406,0.001406,0.001406
32,1988.38,1.3402,0.72777,1.32788,0.93712,0.92666,0.9558,0.52353,1.30212,0.60777,1.25077,0.0013862,0.0013862,0.0013862
33,2013.9,1.32975,0.73547,1.31253,0.94441,0.88025,0.94711,0.53682,1.25682,0.57645,1.23301,0.0013664,0.0013664,0.0013664
34,2039.44,1.3553,0.73451,1.33038,0.92395,0.81833,0.93403,0.51008,1.30278,0.6913,1.24196,0.0013466,0.0013466,0.0013466
35,2064.76,1.31216,0.70917,1.31622,0.95963,0.8622,0.93752,0.52488,1.28026,0.60327,1.24592,0.0013268,0.0013268,0.0013268
36,2090.31,1.30785,0.71506,1.30117,0.91669,0.92228,0.95651,0.54237,1.23788,0.55378,1.214,0.001307,0.001307,0.001307
37,2115.84,1.28978,0.69721,1.29994,0.94547,0.89837,0.95623,0.55141,1.24223,0.57582,1.23317,0.0012872,0.0012872,0.0012872
38,2141.38,1.28819,0.7077,1.29371,0.93706,0.94819,0.9697,0.55761,1.24576,0.53146,1.21959,0.0012674,0.0012674,0.0012674
39,2166.77,1.27871,0.69024,1.2954,0.88837,0.90718,0.95534,0.53886,1.27783,0.62222,1.27299,0.0012476,0.0012476,0.0012476
40,2192.02,1.28849,0.69677,1.29015,0.92172,0.91514,0.95408,0.55672,1.25178,0.55545,1.22065,0.0012278,0.0012278,0.0012278
41,2217.56,1.24253,0.6682,1.26835,0.93467,0.93264,0.96628,0.56575,1.23368,0.56062,1.21314,0.001208,0.001208,0.001208
42,2242.95,1.24684,0.66162,1.26253,0.92199,0.91857,0.95116,0.54356,1.25604,0.57086,1.23769,0.0011882,0.0011882,0.0011882
43,2268.71,1.24918,0.67408,1.28054,0.92724,0.92442,0.95733,0.54584,1.28597,0.56979,1.2425,0.0011684,0.0011684,0.0011684
44,2294.11,1.23524,0.66349,1.26121,0.94933,0.87363,0.94893,0.52943,1.25027,0.56459,1.23716,0.0011486,0.0011486,0.0011486
45,2319.51,1.21451,0.65956,1.23322,0.90311,0.91756,0.9523,0.54262,1.2939,0.55354,1.24672,0.0011288,0.0011288,0.0011288
46,2344.99,1.2154,0.64694,1.24572,0.94324,0.90155,0.95109,0.53933,1.27152,0.5463,1.22089,0.001109,0.001109,0.001109
47,2370.35,1.21275,0.64711,1.23271,0.9408,0.90577,0.95012,0.54743,1.2598,0.58253,1.22114,0.0010892,0.0010892,0.0010892
48,2395.66,1.19702,0.62962,1.21609,0.94044,0.9,0.9475,0.5562,1.20927,0.54633,1.1776,0.0010694,0.0010694,0.0010694
49,2420.86,1.19026,0.63565,1.22913,0.94478,0.89637,0.95348,0.53707,1.24901,0.5442,1.21997,0.0010496,0.0010496,0.0010496
50,2445.99,1.17877,0.63094,1.22716,0.94522,0.89401,0.9547,0.52893,1.30168,0.57802,1.27598,0.0010298,0.0010298,0.0010298
51,2471.46,1.17616,0.62118,1.22998,0.939,0.87733,0.94124,0.54309,1.26388,0.58124,1.22154,0.00101,0.00101,0.00101
52,2496.95,1.13674,0.60185,1.18998,0.93448,0.90155,0.95584,0.53397,1.24763,0.53888,1.2139,0.0009902,0.0009902,0.0009902
53,2522.32,1.16086,0.6184,1.19776,0.95949,0.89119,0.96049,0.52609,1.31067,0.56368,1.26473,0.0009704,0.0009704,0.0009704
54,2547.65,1.16601,0.60676,1.20484,0.88574,0.92385,0.94341,0.5226,1.27409,0.56656,1.26014,0.0009506,0.0009506,0.0009506
55,2573.26,1.11916,0.60569,1.18976,0.95038,0.9171,0.96385,0.5393,1.2666,0.52909,1.23626,0.0009308,0.0009308,0.0009308
56,2598.66,1.13409,0.59864,1.19953,0.93218,0.93264,0.96157,0.55123,1.24261,0.54864,1.22951,0.000911,0.000911,0.000911
57,2623.94,1.10138,0.57861,1.17442,0.9361,0.91079,0.95718,0.57421,1.21543,0.5531,1.20538,0.0008912,0.0008912,0.0008912
58,2649.28,1.1011,0.58706,1.1743,0.93157,0.89119,0.95046,0.52666,1.30027,0.57313,1.26662,0.0008714,0.0008714,0.0008714
59,2674.7,1.10892,0.59148,1.16531,0.94161,0.91913,0.95505,0.5363,1.28824,0.56036,1.25258,0.0008516,0.0008516,0.0008516
60,2700.04,1.08912,0.58475,1.17353,0.92586,0.90155,0.9536,0.54432,1.2625,0.54017,1.25056,0.0008318,0.0008318,0.0008318
61,2725.49,1.09201,0.57259,1.16329,0.94062,0.92746,0.95242,0.56524,1.24768,0.54977,1.21843,0.000812,0.000812,0.000812
62,2750.92,1.08686,0.56662,1.16397,0.88977,0.92012,0.9454,0.54214,1.28012,0.55236,1.24696,0.0007922,0.0007922,0.0007922
63,2776.53,1.06506,0.57268,1.15345,0.93297,0.93264,0.96523,0.55717,1.23582,0.51098,1.21054,0.0007724,0.0007724,0.0007724
64,2801.95,1.06938,0.56101,1.16465,0.93718,0.92228,0.95047,0.54158,1.2529,0.52384,1.23113,0.0007526,0.0007526,0.0007526
65,2827.52,1.07884,0.55686,1.15317,0.91452,0.94235,0.95261,0.53239,1.30564,0.54461,1.267,0.0007328,0.0007328,0.0007328
66,2852.92,1.06775,0.56308,1.1562,0.91907,0.94152,0.9628,0.5312,1.29218,0.52572,1.27494,0.000713,0.000713,0.000713
67,2878.36,1.02357,0.5407,1.13297,0.95116,0.90816,0.95744,0.53466,1.2665,0.52439,1.24287,0.0006932,0.0006932,0.0006932
68,2903.68,1.02947,0.5375,1.13913,0.9146,0.92746,0.95383,0.54233,1.26625,0.53016,1.27435,0.0006734,0.0006734,0.0006734
69,2928.76,1.015,0.54255,1.12987,0.9518,0.92083,0.95853,0.55102,1.26551,0.55765,1.25688,0.0006536,0.0006536,0.0006536
70,2954.19,1.01196,0.52991,1.12038,0.92039,0.94301,0.95661,0.55808,1.24613,0.53412,1.2614,0.0006338,0.0006338,0.0006338
71,2979.74,1.00754,0.54622,1.12387,0.94293,0.94168,0.9628,0.55099,1.25467,0.52944,1.255,0.000614,0.000614,0.000614
72,3005.08,0.99177,0.5265,1.10984,0.94425,0.90155,0.9531,0.54369,1.28323,0.52355,1.29135,0.0005942,0.0005942,0.0005942
73,3030.38,1.01138,0.53105,1.12673,0.91275,0.9215,0.94912,0.52688,1.3078,0.53513,1.28736,0.0005744,0.0005744,0.0005744
74,3055.84,0.98417,0.52318,1.11045,0.90859,0.92703,0.93881,0.53528,1.27267,0.55694,1.26238,0.0005546,0.0005546,0.0005546
75,3081.33,0.9948,0.52826,1.11078,0.93075,0.93782,0.95927,0.5537,1.25778,0.53253,1.2597,0.0005348,0.0005348,0.0005348
